elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
151.157,1.32E-07,1.32E-07,10.747
151.407,1.32E-07,1.32E-07,10.598
151.672,1.22E-07,1.22E-07,11.301
151.922,1.22E-07,1.22E-07,15.968
152.204,1.17E-07,1.17E-07,11.138
152.454,1.24E-07,1.24E-07,10.494
152.704,1.24E-07,1.24E-07,10.394
152.969,1.26E-07,1.26E-07,10.793
153.235,1.10E-07,1.10E-07,11.053
153.485,1.10E-07,1.10E-07,10.635
153.75,1.19E-07,1.19E-07,10.455
154,1.19E-07,1.19E-07,10.426
154.25,1.03E-07,1.03E-07,10.529
154.516,1.23E-07,1.23E-07,11.075
154.782,1.23E-07,1.23E-07,10.861
155.047,1.12E-07,1.12E-07,10.215
155.297,1.12E-07,1.12E-07,11.354
155.547,1.14E-07,1.14E-07,11.972
155.829,1.25E-07,1.25E-07,10.869
156.063,1.25E-07,1.25E-07,10.103
156.329,1.27E-07,1.27E-07,11.56
156.594,1.27E-07,1.27E-07,10.719
156.86,1.20E-07,1.20E-07,10.01
157.11,1.28E-07,1.28E-07,9.889
157.375,1.28E-07,1.28E-07,10.877
157.625,1.20E-07,1.20E-07,10.407
157.891,1.20E-07,1.20E-07,15.505
158.141,1.39E-07,1.39E-07,10.403
158.407,1.29E-07,1.29E-07,11.487
158.657,1.29E-07,1.29E-07,11.529
158.922,1.09E-07,1.09E-07,11.14
159.188,1.25E-07,1.25E-07,10.867
159.438,1.25E-07,1.25E-07,11.251
159.704,1.17E-07,1.17E-07,11.504
159.969,1.17E-07,1.17E-07,11.144
160.219,1.19E-07,1.19E-07,10.771
160.485,1.32E-07,1.32E-07,10.741
160.735,1.32E-07,1.32E-07,10.159
161,1.25E-07,1.25E-07,10.521
161.266,1.25E-07,1.25E-07,10.297
161.516,1.29E-07,1.29E-07,11.388
161.766,1.23E-07,1.23E-07,10.731
162.016,1.23E-07,1.23E-07,10.074
162.297,1.41E-07,1.41E-07,10.845
162.547,1.41E-07,1.41E-07,10.763
162.797,1.27E-07,1.27E-07,10.165
